cell_id,Long,Lat,elevation_m,northness
25163,-119.39354467629065,37.6490935157962,3241.5,-0.19826714851569943
25164,-119.39310728650207,37.65812474471172,3138.75,-0.05052700867324855
24911,-119.40448123755266,37.65847243606488,3347.5,-0.08258146896807526
25165,-119.39266970137024,37.667155955429585,3038.25,-0.11708852225536268
24912,-119.40404502503307,37.66750375939522,3222.75,-0.24508375486669504
24659,-119.4154205440027,37.66785046898784,3276.25,-0.10176529788545928
25166,-119.39223192080277,37.67618714794628,2955.25,-0.26219134787479315
24913,-119.40360861768826,37.676535064551196,3057.5,-0.17729716164656775
24660,-119.41498550997298,37.67688188642972,3165.25,-0.33379429029177266
25167,-119.39179394470719,37.685218322258194,2894.75,-0.28120053763866265
24914,-119.40317201542605,37.685566351529246,2992.5,-0.04195844695245633
24661,-119.41455028163654,37.685913285720446,3162.75,-0.2374080287635601
25168,-119.39135577299103,37.69424947836178,2862.75,-0.30249301554370833
22892,-119.49335178038449,37.706375455220524,2501.75,-0.03512208388176226
22639,-119.5047343396165,37.70671384574574,2460.75,-0.026041308643203677
22386,-119.51611708900491,37.70705113996783,2437.0,-0.0682663448921128
21629,-119.5494276935074,37.726121758266785,1614.75,-0.6579044024993087
23399,-119.47015830321428,37.71472728696184,2661.0,-0.13273491418386646
23146,-119.48154185660246,37.71506798019351,2582.0,0.06673039346689036
23653,-119.4583444418391,37.723417270035284,2619.25,-0.22484623897437284
23400,-119.46972917997024,37.72375917040408,2566.5,-0.1069397705688696
23147,-119.48111411028044,37.72409997393225,2368.0,0.22716160353551465
23654,-119.45791374944642,37.73244902476482,2402.5,-0.09547194110572581
23401,-119.46929986502107,37.73279103581046,2341.75,-0.030348597354233463
22134,-119.52707797875844,37.7164197871163,2204.25,0.37410342365151766
21881,-119.5384624833784,37.7167549970632,2063.75,-0.2628964125215891
22135,-119.52665574102862,37.72545221850069,2024.0,-0.03405370395428174
21882,-119.53804162302126,37.725787536973804,1920.0,-0.4779911980348823
22136,-119.52623331465719,37.7344846319801,1974.75,-0.3038174024639951
21883,-119.53762057463538,37.73482005900535,1954.25,-0.27038419069411435
22137,-119.52581069955471,37.74351702755114,2153.75,-0.21130885318096623
22893,-119.49292560146489,37.71540757688154,2444.75,0.09347061488312568
22640,-119.50430953718767,37.71574607696909,2388.5,-0.19842256731856894
22387,-119.51569366315682,37.716083480399504,2323.75,-0.2915760030499263
